,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:30.95,5855,
'0:0:31.0,5845,
'0:0:31.05,5836,
'0:0:31.1,5828,
'0:0:31.15,5819,
'0:0:31.2,5810,
'0:0:31.25,5799,
'0:0:31.3,5789,
'0:0:31.35,5781,
'0:0:31.4,5772,
'0:0:31.45,5762,
'0:0:31.5,5754,
'0:0:31.55,5746,
'0:0:31.6,5740,
'0:0:31.65,5735,
'0:0:31.7,5730,
'0:0:31.75,5726,
'0:0:31.8,5722,
'0:0:31.85,5719,
'0:0:31.9,5719,
'0:0:31.95,5718,
'0:0:32.0,5715,
'0:0:32.05,5715,
'0:0:32.1,5718,
'0:0:32.15,5720,
'0:0:32.2,5722,
'0:0:32.25,5725,
'0:0:32.3,5726,
'0:0:32.35,5724,
'0:0:32.4,5723,
'0:0:32.45,5723,
'0:0:32.5,5723,
'0:0:32.55,5721,
'0:0:32.6,5720,
'0:0:32.65,5720,
'0:0:32.7,5720,
'0:0:32.75,5720,
'0:0:32.8,5721,
'0:0:32.85,5724,
'0:0:32.9,5727,
'0:0:32.95,5730,
'0:0:33.0,5734,
'0:0:33.05,5740,
'0:0:33.1,5746,
'0:0:33.15,5752,
'0:0:33.2,5759,
'0:0:33.25,5768,
'0:0:33.3,5780,
'0:0:33.35,5794,
'0:0:33.4,5807,
'0:0:33.45,5821,
'0:0:33.5,5833,
'0:0:33.55,5843,
'0:0:33.6,5853,
'0:0:33.65,5866,
'0:0:33.7,5876,
'0:0:33.75,5886,
'0:0:33.8,5895,
'0:0:33.85,5909,
'0:0:33.9,5925,
'0:0:33.95,5939,
'0:0:34.0,5941,
'0:0:34.05,5936,
'0:0:34.1,5927,
'0:0:34.15,5917,
'0:0:34.2,5909,
'0:0:34.25,5900,
'0:0:34.3,5890,
'0:0:34.35,5880,
'0:0:34.4,5873,
'0:0:34.45,5870,
'0:0:34.5,5868,
'0:0:34.55,5863,
'0:0:34.6,5857,
'0:0:34.65,5847,
'0:0:34.7,5834,
'0:0:34.75,5821,
'0:0:34.8,5809,
'0:0:34.85,5796,
'0:0:34.9,5784,
'0:0:34.95,5773,
'0:0:35.0,5765,
'0:0:35.05,5760,
'0:0:35.1,5754,
'0:0:35.15,5745,
'0:0:35.2,5734,
'0:0:35.25,5722,
'0:0:35.3,5714,
'0:0:35.35,5709,
'0:0:35.4,5704,
'0:0:35.45,5699,
'0:0:35.5,5694,
'0:0:35.55,5690,
'0:0:35.6,5689,
'0:0:35.65,5688,
'0:0:35.7,5686,
'0:0:35.75,5683,
'0:0:35.8,5682,
'0:0:35.85,5682,
'0:0:35.9,5681,
'0:0:35.95,5679,
'0:0:36.0,5678,
'0:0:36.05,5677,
'0:0:36.1,5676,
'0:0:36.15,5676,
'0:0:36.2,5676,
'0:0:36.25,5673,
'0:0:36.3,5671,
'0:0:36.35,5669,
'0:0:36.4,5669,
'0:0:36.45,5671,
'0:0:36.5,5674,
'0:0:36.55,5676,
'0:0:36.6,5678,
'0:0:36.65,5681,
'0:0:36.7,5683,
'0:0:36.75,5687,
'0:0:36.8,5691,
'0:0:36.85,5697,
'0:0:36.9,5705,
'0:0:36.95,5714,
'0:0:37.0,5723,
'0:0:37.05,5733,
'0:0:37.1,5742,
'0:0:37.15,5753,
'0:0:37.2,5764,
'0:0:37.25,5781,
'0:0:37.3,5796,
'0:0:37.35,5812,
'0:0:37.4,5826,
'0:0:37.45,5838,
'0:0:37.5,5850,
'0:0:37.55,5866,
'0:0:37.6,5879,
'0:0:37.65,5891,
'0:0:37.7,5905,
'0:0:37.75,5925,
'0:0:37.8,5946,
'0:0:37.85,5967,
'0:0:37.9,5986,
'0:0:37.95,6005,
'0:0:38.0,6018,
'0:0:38.05,6030,
'0:0:38.1,6031,
'0:0:38.15,6021,
'0:0:38.2,6008,
'0:0:38.25,6001,
'0:0:38.3,5999,
'0:0:38.35,5995,
'0:0:38.4,5989,
'0:0:38.45,5982,
'0:0:38.5,5972,
'0:0:38.55,5959,
'0:0:38.6,5948,
'0:0:38.65,5936,
'0:0:38.7,5923,
'0:0:38.75,5911,
'0:0:38.8,5904,
'0:0:38.85,5899,
'0:0:38.9,5891,
'0:0:38.95,5881,
'0:0:39.0,5868,
'0:0:39.05,5850,
'0:0:39.1,5837,
'0:0:39.15,5825,
'0:0:39.2,5813,
'0:0:39.25,5802,
'0:0:39.3,5795,
'0:0:39.35,5791,
'0:0:39.4,5788,
'0:0:39.45,5781,
'0:0:39.5,5775,
'0:0:39.55,5767,
'0:0:39.6,5759,
'0:0:39.65,5752,
'0:0:39.7,5744,
'0:0:39.75,5735,
'0:0:39.8,5728,
'0:0:39.85,5722,
'0:0:39.9,5719,
'0:0:39.95,5716,
'0:0:40.0,5709,
'0:0:40.05,5701,
'0:0:40.1,5694,
'0:0:40.15,5689,
'0:0:40.2,5685,
'0:0:40.25,5680,
'0:0:40.3,5676,
'0:0:40.35,5672,
'0:0:40.4,5668,
'0:0:40.45,5665,
'0:0:40.5,5662,
'0:0:40.55,5658,
'0:0:40.6,5654,
'0:0:40.65,5648,
'0:0:40.7,5644,
'0:0:40.75,5642,
'0:0:40.8,5641,
'0:0:40.85,5642,
'0:0:40.9,5644,
'0:0:40.95,5650,
'0:0:41.0,5658,
'0:0:41.05,5667,
'0:0:41.1,5672,
'0:0:41.15,5676,
'0:0:41.2,5681,
'0:0:41.25,5689,
'0:0:41.3,5697,
'0:0:41.35,5706,
'0:0:41.4,5712,
'0:0:41.45,5721,
'0:0:41.5,5732,
'0:0:41.55,5746,
'0:0:41.6,5758,
'0:0:41.65,5771,
'0:0:41.7,5782,
'0:0:41.75,5794,
'0:0:41.8,5803,
'0:0:41.85,5815,
'0:0:41.9,5826,
'0:0:41.95,5837,
'0:0:42.0,5848,
'0:0:42.05,5863,
'0:0:42.1,5879,
'0:0:42.15,5895,
'0:0:42.2,5910,
'0:0:42.25,5922,
'0:0:42.3,5929,
'0:0:42.35,5934,
'0:0:42.4,5933,
'0:0:42.45,5925,
'0:0:42.5,5914,
'0:0:42.55,5904,
'0:0:42.6,5898,
'0:0:42.65,5894,
'0:0:42.7,5890,
'0:0:42.75,5885,
'0:0:42.8,5876,
'0:0:42.85,5864,
'0:0:42.9,5854,
'0:0:42.95,5844,
'0:0:43.0,5834,
'0:0:43.05,5821,
'0:0:43.1,5811,
'0:0:43.15,5804,
'0:0:43.2,5799,
'0:0:43.25,5791,
'0:0:43.3,5781,
'0:0:43.35,5770,
'0:0:43.4,5761,
'0:0:43.45,5754,
'0:0:43.5,5748,
'0:0:43.55,5740,
'0:0:43.6,5731,
'0:0:43.65,5723,
'0:0:43.7,5717,
'0:0:43.75,5713,
'0:0:43.8,5708,
'0:0:43.85,5703,
'0:0:43.9,5698,
'0:0:43.95,5693,
'0:0:44.0,5689,
'0:0:44.05,5685,
'0:0:44.1,5681,
'0:0:44.15,5676,
'0:0:44.2,5673,
'0:0:44.25,5671,
'0:0:44.3,5670,
'0:0:44.35,5669,
'0:0:44.4,5667,
'0:0:44.45,5663,
'0:0:44.5,5662,
'0:0:44.55,5662,
'0:0:44.6,5660,
'0:0:44.65,5658,
'0:0:44.7,5659,
'0:0:44.75,5661,
'0:0:44.8,5665,
'0:0:44.85,5670,
'0:0:44.9,5674,
'0:0:44.95,5677,
'0:0:45.0,5679,
'0:0:45.05,5682,
'0:0:45.1,5686,
'0:0:45.15,5690,
'0:0:45.2,5692,
'0:0:45.25,5696,
'0:0:45.3,5701,
'0:0:45.35,5711,
'0:0:45.4,5722,
'0:0:45.45,5734,
'0:0:45.5,5744,
'0:0:45.55,5753,
'0:0:45.6,5761,
'0:0:45.65,5771,
'0:0:45.7,5780,
'0:0:45.75,5788,
'0:0:45.8,5796,
'0:0:45.85,5808,
'0:0:45.9,5823,
'0:0:45.95,5839,
'0:0:46.0,5854,
'0:0:46.05,5870,
'0:0:46.1,5881,
'0:0:46.15,5892,
'0:0:46.2,5901,
'0:0:46.25,5911,
'0:0:46.3,5918,
'0:0:46.35,5925,
'0:0:46.4,5928,
'0:0:46.45,5928,
'0:0:46.5,5926,
'0:0:46.55,5921,
'0:0:46.6,5913,
'0:0:46.65,5901,
'0:0:46.7,5892,
'0:0:46.75,5883,
'0:0:46.8,5872,
'0:0:46.85,5856,
'0:0:46.9,5845,
'0:0:46.95,5836,
'0:0:47.0,5829,
'0:0:47.05,5820,
'0:0:47.1,5810,
'0:0:47.15,5798,
'0:0:47.2,5787,
'0:0:47.25,5778,
'0:0:47.3,5770,
'0:0:47.35,5763,
'0:0:47.4,5756,
'0:0:47.45,5748,
'0:0:47.5,5742,
'0:0:47.55,5737,
