,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:27.45,6064,
'0:0:27.5,6054,
'0:0:27.55,6044,
'0:0:27.6,6035,
'0:0:27.65,6029,
'0:0:27.7,6024,
'0:0:27.75,6022,
'0:0:27.8,6020,
'0:0:27.85,6017,
'0:0:27.9,6013,
'0:0:27.95,6009,
'0:0:28.0,6007,
'0:0:28.05,6007,
'0:0:28.1,6006,
'0:0:28.15,6006,
'0:0:28.2,6007,
'0:0:28.25,6007,
'0:0:28.3,6009,
'0:0:28.35,6012,
'0:0:28.4,6013,
'0:0:28.45,6013,
'0:0:28.5,6012,
'0:0:28.55,6013,
'0:0:28.6,6016,
'0:0:28.65,6020,
'0:0:28.7,6023,
'0:0:28.75,6027,
'0:0:28.8,6032,
'0:0:28.85,6041,
'0:0:28.9,6052,
'0:0:28.95,6062,
'0:0:29.0,6075,
'0:0:29.05,6086,
'0:0:29.1,6095,
'0:0:29.15,6104,
'0:0:29.2,6116,
'0:0:29.25,6127,
'0:0:29.3,6137,
'0:0:29.35,6147,
'0:0:29.4,6160,
'0:0:29.45,6176,
'0:0:29.5,6195,
'0:0:29.55,6212,
'0:0:29.6,6230,
'0:0:29.65,6242,
'0:0:29.7,6251,
'0:0:29.75,6261,
'0:0:29.8,6272,
'0:0:29.85,6280,
'0:0:29.9,6287,
'0:0:29.95,6293,
'0:0:30.0,6297,
'0:0:30.05,6298,
'0:0:30.1,6296,
'0:0:30.15,6295,
'0:0:30.2,6289,
'0:0:30.25,6278,
'0:0:30.3,6266,
'0:0:30.35,6257,
'0:0:30.4,6246,
'0:0:30.45,6231,
'0:0:30.5,6215,
'0:0:30.55,6205,
'0:0:30.6,6196,
'0:0:30.65,6186,
'0:0:30.7,6174,
'0:0:30.75,6166,
'0:0:30.8,6153,
'0:0:30.85,6135,
'0:0:30.9,6121,
'0:0:30.95,6112,
'0:0:31.0,6097,
'0:0:31.05,6083,
'0:0:31.1,6074,
'0:0:31.15,6068,
'0:0:31.2,6065,
'0:0:31.25,6061,
'0:0:31.3,6056,
'0:0:31.35,6050,
'0:0:31.4,6041,
'0:0:31.45,6034,
'0:0:31.5,6031,
'0:0:31.55,6026,
'0:0:31.6,6021,
'0:0:31.65,6019,
'0:0:31.7,6020,
'0:0:31.75,6020,
'0:0:31.8,6021,
'0:0:31.85,6021,
'0:0:31.9,6019,
'0:0:31.95,6016,
'0:0:32.0,6011,
'0:0:32.05,6011,
'0:0:32.1,6011,
'0:0:32.15,6010,
'0:0:32.2,6011,
'0:0:32.25,6012,
'0:0:32.3,6013,
'0:0:32.35,6015,
'0:0:32.4,6020,
'0:0:32.45,6026,
'0:0:32.5,6032,
'0:0:32.55,6035,
'0:0:32.6,6043,
'0:0:32.65,6052,
'0:0:32.7,6059,
'0:0:32.75,6064,
'0:0:32.8,6075,
'0:0:32.85,6088,
'0:0:32.9,6105,
'0:0:32.95,6121,
'0:0:33.0,6139,
'0:0:33.05,6157,
'0:0:33.1,6172,
'0:0:33.15,6182,
'0:0:33.2,6192,
'0:0:33.25,6204,
'0:0:33.3,6216,
'0:0:33.35,6223,
'0:0:33.4,6232,
'0:0:33.45,6243,
'0:0:33.5,6258,
'0:0:33.55,6270,
'0:0:33.6,6274,
'0:0:33.65,6268,
'0:0:33.7,6256,
'0:0:33.75,6243,
'0:0:33.8,6232,
'0:0:33.85,6221,
'0:0:33.9,6207,
'0:0:33.95,6193,
'0:0:34.0,6181,
'0:0:34.05,6172,
'0:0:34.1,6164,
'0:0:34.15,6156,
'0:0:34.2,6146,
'0:0:34.25,6134,
'0:0:34.3,6117,
'0:0:34.35,6106,
'0:0:34.4,6097,
'0:0:34.45,6087,
'0:0:34.5,6075,
'0:0:34.55,6066,
'0:0:34.6,6060,
'0:0:34.65,6056,
'0:0:34.7,6052,
'0:0:34.75,6046,
'0:0:34.8,6040,
'0:0:34.85,6033,
'0:0:34.9,6026,
'0:0:34.95,6022,
'0:0:35.0,6019,
'0:0:35.05,6015,
'0:0:35.1,6013,
'0:0:35.15,6014,
'0:0:35.2,6015,
'0:0:35.25,6017,
'0:0:35.3,6018,
'0:0:35.35,6016,
'0:0:35.4,6014,
'0:0:35.45,6012,
'0:0:35.5,6012,
'0:0:35.55,6013,
'0:0:35.6,6013,
'0:0:35.65,6013,
'0:0:35.7,6016,
'0:0:35.75,6018,
'0:0:35.8,6021,
'0:0:35.85,6025,
'0:0:35.9,6030,
'0:0:35.95,6036,
'0:0:36.0,6041,
'0:0:36.05,6045,
'0:0:36.1,6052,
'0:0:36.15,6059,
'0:0:36.2,6065,
'0:0:36.25,6073,
'0:0:36.3,6084,
'0:0:36.35,6096,
'0:0:36.4,6113,
