,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:40.35,372,1281
'0:0:40.4,353,1262
'0:0:40.45,350,1250
'0:0:40.5,359,1242
'0:0:40.55,364,1234
'0:0:40.6,359,1226
'0:0:40.65,353,1216
'0:0:40.7,352,1199
'0:0:40.75,354,1181
'0:0:40.8,355,1153
'0:0:40.85,367,1125
'0:0:40.9,391,1103
'0:0:40.95,383,1086
'0:0:41.0,363,1064
'0:0:41.05,353,1044
'0:0:41.1,358,1031
'0:0:41.15,364,1019
'0:0:41.2,361,1006
'0:0:41.25,354,997
'0:0:41.3,352,990
'0:0:41.35,352,981
'0:0:41.4,351,971
'0:0:41.45,356,961
'0:0:41.5,382,948
'0:0:41.55,392,942
'0:0:41.6,375,939
'0:0:41.65,359,934
'0:0:41.7,353,928
'0:0:41.75,360,922
'0:0:41.8,362,915
'0:0:41.85,357,910
'0:0:41.9,351,905
'0:0:41.95,351,900
'0:0:42.0,351,893
'0:0:42.05,351,889
'0:0:42.1,357,884
'0:0:42.15,385,882
'0:0:42.2,388,882
'0:0:42.25,368,883
'0:0:42.3,354,885
'0:0:42.35,355,884
'0:0:42.4,360,882
'0:0:42.45,363,880
'0:0:42.5,358,877
'0:0:42.55,353,876
'0:0:42.6,352,874
'0:0:42.65,352,872
'0:0:42.7,350,870
'0:0:42.75,357,866
'0:0:42.8,383,864
'0:0:42.85,387,865
'0:0:42.9,368,868
'0:0:42.95,355,871
'0:0:43.0,355,873
'0:0:43.05,362,873
'0:0:43.1,360,871
'0:0:43.15,354,871
'0:0:43.2,351,875
'0:0:43.25,351,880
'0:0:43.3,350,885
'0:0:43.35,350,892
'0:0:43.4,356,897
'0:0:43.45,382,908
'0:0:43.5,384,926
'0:0:43.55,364,937
'0:0:43.6,352,944
'0:0:43.65,354,954
'0:0:43.7,361,970
'0:0:43.75,360,986
'0:0:43.8,352,1005
'0:0:43.85,349,1024
'0:0:43.9,348,1043
'0:0:43.95,350,1060
