,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:24.85,395,187
'0:0:24.9,385,196
'0:0:24.95,366,201
'0:0:25.0,351,206
'0:0:25.05,345,209
'0:0:25.1,336,205
'0:0:25.15,360,197
'0:0:25.2,383,192
'0:0:25.25,377,192
'0:0:25.3,324,178
'0:0:25.35,269,162
'0:0:25.4,266,172
'0:0:25.45,284,181
'0:0:25.5,298,169
'0:0:25.55,312,154
'0:0:25.6,338,145
'0:0:25.65,378,141
'0:0:25.7,406,138
'0:0:25.75,402,134
'0:0:25.8,386,133
'0:0:25.85,395,141
'0:0:25.9,421,150
'0:0:25.95,406,146
'0:0:26.0,392,155
'0:0:26.05,405,185
'0:0:26.1,407,200
'0:0:26.15,403,202
'0:0:26.2,406,202
'0:0:26.25,387,207
'0:0:26.3,359,221
'0:0:26.35,349,230
'0:0:26.4,350,230
'0:0:26.45,344,219
'0:0:26.5,344,217
'0:0:26.55,342,205
'0:0:26.6,295,169
'0:0:26.65,290,159
'0:0:26.7,353,172
'0:0:26.75,381,167
'0:0:26.8,360,158
'0:0:26.85,337,156
'0:0:26.9,338,151
'0:0:26.95,348,148
'0:0:27.0,352,146
'0:0:27.05,354,143
'0:0:27.1,364,146
'0:0:27.15,400,155
'0:0:27.2,402,149
'0:0:27.25,416,147
'0:0:27.3,418,173
'0:0:27.35,408,199
'0:0:27.4,400,209
'0:0:27.45,386,206
'0:0:27.5,373,199
'0:0:27.55,356,207
'0:0:27.6,349,217
'0:0:27.65,349,216
'0:0:27.7,340,207
'0:0:27.75,342,198
'0:0:27.8,392,204
'0:0:27.85,383,197
'0:0:27.9,335,177
'0:0:27.95,298,181
'0:0:28.0,297,188
'0:0:28.05,304,181
'0:0:28.1,304,169
'0:0:28.15,316,156
'0:0:28.2,335,151
'0:0:28.25,353,145
'0:0:28.3,384,138
'0:0:28.35,438,137
'0:0:28.4,455,148
'0:0:28.45,412,152
'0:0:28.5,376,156
'0:0:28.55,392,177
'0:0:28.6,401,187
'0:0:28.65,384,193
'0:0:28.7,368,201
'0:0:28.75,346,204
'0:0:28.8,337,210
'0:0:28.85,349,217
'0:0:28.9,376,215
'0:0:28.95,359,206
'0:0:29.0,331,195
'0:0:29.05,338,199
'0:0:29.1,330,190
'0:0:29.15,301,152
'0:0:29.2,303,142
'0:0:29.25,317,154
'0:0:29.3,328,156
'0:0:29.35,337,152
'0:0:29.4,381,147
'0:0:29.45,402,144
'0:0:29.5,379,143
'0:0:29.55,356,139
'0:0:29.6,359,139
'0:0:29.65,389,149
'0:0:29.7,382,145
'0:0:29.75,363,141
'0:0:29.8,375,171
'0:0:29.85,389,192
'0:0:29.9,397,185
'0:0:29.95,419,188
'0:0:30.0,410,200
'0:0:30.05,378,216
'0:0:30.1,360,230
'0:0:30.15,363,233
'0:0:30.2,358,226
'0:0:30.25,344,213
'0:0:30.3,339,205
'0:0:30.35,349,208
'0:0:30.4,320,190
'0:0:30.45,306,162
'0:0:30.5,325,162
'0:0:30.55,326,163
'0:0:30.6,322,158
'0:0:30.65,330,154
'0:0:30.7,351,148
'0:0:30.75,357,144
'0:0:30.8,356,139
