,Experiment name:,Sample experiment
Duration:,1 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,Wave,Arb
Units:,Arb,Arb
Time
'0:0:46.95,384,677
'0:0:47.0,355,673
'0:0:47.05,344,670
'0:0:47.1,341,669
'0:0:47.15,337,667
'0:0:47.2,331,664
'0:0:47.25,324,660
'0:0:47.3,337,656
'0:0:47.35,446,649
'0:0:47.4,495,643
'0:0:47.45,440,639
'0:0:47.5,379,637
'0:0:47.55,355,634
'0:0:47.6,358,632
'0:0:47.65,366,629
'0:0:47.7,355,626
'0:0:47.75,227,626
'0:0:47.8,231,624
'0:0:47.85,221,621
'0:0:47.9,397,617
'0:0:47.95,406,615
'0:0:48.0,376,614
'0:0:48.05,352,614
'0:0:48.1,335,614
'0:0:48.15,364,613
'0:0:48.2,476,612
'0:0:48.25,494,611
'0:0:48.3,426,613
'0:0:48.35,372,617
'0:0:48.4,349,622
'0:0:48.45,359,626
'0:0:48.5,368,631
'0:0:48.55,353,636
'0:0:48.6,332,638
'0:0:48.65,319,640
'0:0:48.7,319,642
'0:0:48.75,326,647
'0:0:48.8,206,652
'0:0:48.85,240,659
'0:0:48.9,336,666
'0:0:48.95,428,674
'0:0:49.0,513,678
'0:0:49.05,524,681
'0:0:49.1,452,687
'0:0:49.15,385,696
'0:0:49.2,355,705
'0:0:49.25,361,715
'0:0:49.3,372,725
'0:0:49.35,355,737
'0:0:49.4,330,748
'0:0:49.45,317,760
'0:0:49.5,317,771
'0:0:49.55,325,782
'0:0:49.6,333,794
'0:0:49.65,333,806
'0:0:49.7,331,818
'0:0:49.75,406,830
'0:0:49.8,379,840
'0:0:49.85,382,851
'0:0:49.9,308,862
'0:0:49.95,426,876
'0:0:50.0,421,890
'0:0:50.05,412,904
'0:0:50.1,387,918
'0:0:50.15,353,936
'0:0:50.2,330,952
'0:0:50.25,327,966
'0:0:50.3,331,979
'0:0:50.35,336,994
'0:0:50.4,334,1011
'0:0:50.45,362,1036
'0:0:50.5,454,1060
'0:0:50.55,471,1086
'0:0:50.6,414,1106
'0:0:50.65,374,1128
'0:0:50.7,355,1150
'0:0:50.75,366,1176
'0:0:50.8,369,1200
'0:0:50.85,217,1227
'0:0:50.9,262,1251
