,Experiment name:,Sample experiment
Duration:,1 0,
Rate:,20 per second,
Sensors:,Respiration (ID 1  Exp 1),
Range:,Arb,
Units:,Arb,
Time,Count,
'0:0:21.1,2844,
'0:0:21.15,2908,
'0:0:21.2,2907,
'0:0:21.25,2858,
'0:0:21.3,2808,
'0:0:21.35,2754,
'0:0:21.4,2680,
'0:0:21.45,2632,
'0:0:21.5,2662,
'0:0:21.55,2702,
'0:0:21.6,2665,
'0:0:21.65,2590,
'0:0:21.7,2532,
'0:0:21.75,2525,
'0:0:21.8,2509,
'0:0:21.85,2486,
'0:0:21.9,2538,
'0:0:21.95,2584,
'0:0:22.0,2537,
'0:0:22.05,2484,
'0:0:22.1,2492,
'0:0:22.15,2541,
'0:0:22.2,2573,
'0:0:22.25,2543,
'0:0:22.3,2549,
'0:0:22.35,2637,
'0:0:22.4,2677,
'0:0:22.45,2622,
'0:0:22.5,2539,
'0:0:22.55,2493,
'0:0:22.6,2494,
'0:0:22.65,2482,
'0:0:22.7,2458,
'0:0:22.75,2493,
'0:0:22.8,2516,
'0:0:22.85,2491,
'0:0:22.9,2480,
'0:0:22.95,2505,
'0:0:23.0,2551,
'0:0:23.05,2554,
'0:0:23.1,2562,
'0:0:23.15,2630,
'0:0:23.2,2665,
'0:0:23.25,2644,
'0:0:23.3,2641,
'0:0:23.35,2668,
'0:0:23.4,2706,
'0:0:23.45,2698,
'0:0:23.5,2705,
'0:0:23.55,2781,
'0:0:23.6,2819,
'0:0:23.65,2794,
'0:0:23.7,2778,
'0:0:23.75,2786,
'0:0:23.8,2838,
'0:0:23.85,2911,
'0:0:23.9,2936,
'0:0:23.95,2897,
'0:0:24.0,2894,
'0:0:24.05,2930,
'0:0:24.1,2924,
'0:0:24.15,2880,
'0:0:24.2,2825,
'0:0:24.25,2772,
'0:0:24.3,2703,
'0:0:24.35,2718,
'0:0:24.4,2802,
'0:0:24.45,2814,
'0:0:24.5,2750,
'0:0:24.55,2699,
'0:0:24.6,2685,
'0:0:24.65,2667,
'0:0:24.7,2619,
'0:0:24.75,2644,
'0:0:24.8,2720,
